StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,message1,message2,message3,AttentionCheck1,message4,Message5,Message6,regulations,GlobalWarming,TrumpHigh,AttentionCheck2,TrumpLow,BidenLow,ExxonHigh,ExxonLow,BidenHigh,MSCHigh,MSCLow,SierraHigh,SierraLow,colgateHigh,ColgateLow,patagoniaHigh,PatagoniaLow,powerthefutureHigh,PowerTheFutureLow,TrumpTemp,BidenTemp,comment,political_affiliat,political_affiliat_4_TEXT,polparty,age,gender,gender_3_TEXT,state_1,EndComments,Random ID,Create New Field or Choose From Dropdown...
6/14/2022 11:51,6/14/2022 12:00,IP Address,97.91.191.77,100,540,TRUE,6/14/2022 12:00,R_AbSuK3eT2Npyi7D,,,,,38.6664,-90.322,anonymous,EN,Somewhat political,Very political,Slightly political,,Slightly political,Very political,Slightly political,5,Mostly by human activity,,,,Somewhat political,Very political,,,,Not at all political,,Very political,Somewhat political,,Very political,Somewhat political,Slightly political,Slightly political,6,9,,Weak Democrat,,,35 to 44 years old,Female,,Arizona,,,
6/14/2022 12:04,6/14/2022 12:15,IP Address,97.91.191.77,97,670,FALSE,6/21/2022 12:18,R_3m8gWsJOP7Ed87P,,,,,,,anonymous,EN,Slightly political,Somewhat political,Slightly political,,Very political,Slightly political,Very political,2,Mostly by natural causes,Not at all political,Very political,Somewhat political,,Slightly political,Very political,Very political,,,,Not at all political,,,,,Not at all political,Not at all political,4,9,,,,,25 to 34 years old,Male,,Alaska,,,
6/14/2022 13:36,6/14/2022 13:45,IP Address,108.6.202.88,97,506,FALSE,6/21/2022 13:45,R_31yLkloESNfFzBN,,,,,,,anonymous,EN,Extremely political,Very political,Very political,,Very political,Extremely political,Extremely political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,,Extremely political,Extremely political,,,Extremely political,,Very political,,Very political,Somewhat political,Not at all political,Slightly political,,,Extremely political,2,5,,Weak Republican,,,Younger than 18 years old,Male,,Alabama,,,
7/25/2022 15:33,7/25/2022 15:35,Survey Preview,,100,145,TRUE,7/25/2022 15:35,R_3iBSap36tKupg5B,,,,,40.7256,-74.1594,preview,EN,Very political,Extremely political,Somewhat political,Somewhat political,Extremely political,Somewhat political,Very political,1. Regulate business to protect the environment and create jobs,Mostly by natural causes,,Slightly political,,Somewhat political,Somewhat political,Somewhat political,Somewhat political,,Slightly political,,Slightly political,,,Slightly political,Somewhat political,,,0,5,jgjg,Weak Democrat,,,35 to 44 years old,Female,,Connecticut,,95303,
7/25/2022 15:40,7/25/2022 15:42,Survey Preview,,100,128,TRUE,7/25/2022 15:42,R_1r043y9vnGX159f,,,,,40.7256,-74.1594,preview,EN,Somewhat political,Very political,Slightly political,Slightly Political,Somewhat political,Extremely political,Not at all political,3,Equally by human activity and natural causes,Not at all political,,,,Not at all political,Very political,Extremely political,,,Somewhat political,,,Very political,Very political,Very political,,Somewhat political,1,10,mghgk,Weak Democrat,,,35 to 44 years old,Female,,Alabama,,20344,
7/25/2022 16:08,7/25/2022 16:10,IP Address,172.58.235.157,100,104,TRUE,7/25/2022 16:10,R_3lYYit19MIVLPEQ,,,,,40.7256,-74.1594,anonymous,EN,Somewhat political,Very political,Somewhat political,Somewhat political,Somewhat political,Somewhat political,Somewhat political,4,Mostly by natural causes,Very political,,,Very political,,Slightly political,Very political,,,Somewhat political,,Not at all political,Slightly political,,Extremely political,,Extremely political,0,0,This is Laura,Independent,,,45 to 54 years old,Female,,Alabama,This is Laura,96960,
7/25/2022 16:28,7/25/2022 16:34,IP Address,24.194.225.157,100,372,TRUE,7/25/2022 16:34,R_1d1fPJC7eq7ssHq,,,,,43.0592,-73.7356,anonymous,EN,Very political,Extremely political,Slightly political,Slightly Political,Slightly political,Slightly political,Very political,3,Mostly by human activity,,Very political,Very political,,,Slightly political,Extremely political,Slightly political,,,Somewhat political,,Not at all political,Very political,Not at all political,,,3,4,There was an attention check ad (regarding trump) that I accidentally marked incorrectly.,Weak Democrat,,,25 to 34 years old,Female,,New York,There was an attention check ad (regarding trump) that I accidentally marked incorrectly.,71972,
7/25/2022 16:34,7/25/2022 16:40,IP Address,98.203.141.22,100,390,TRUE,7/25/2022 16:40,R_1OlT9TtGzU5fPfR,,,,,47.6901,-122.3747,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Very political,Somewhat political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,Slightly political,Very political,,,Slightly political,,,,Extremely political,Very political,Slightly political,,Extremely political,Slightly political,Extremely political,,0,10,No,Strong Democrat,,,55 to 64 years old,Female,,Washington,This was an interesting survey - thank you,58805,
7/25/2022 16:36,7/25/2022 16:42,IP Address,73.160.14.40,100,407,TRUE,7/25/2022 16:42,R_2v00beGmuoAmqQa,,,,,40.5833,-74.277,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Very political,Not at all political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,,Extremely political,Slightly political,,,Very political,,Extremely political,Slightly political,,,,Not at all political,,Very  political,0,3,I didn't find anything unusual.,Independent,,,25 to 34 years old,Male,,New Jersey,,69015,
7/25/2022 16:36,7/25/2022 16:45,IP Address,24.17.69.124,100,560,TRUE,7/25/2022 16:45,R_1ONBYFkMY3GX2Fv,,,,,47.8534,-122.2438,anonymous,EN,Slightly political,Somewhat political,Not at all political,Slightly Political,Very political,Slightly political,Not at all political,4,Mostly by natural causes,Very political,,Very political,Extremely political,Not at all political,,,,,Very political,Somewhat political,Slightly political,,Extremely political,Not at all political,,,4,0,"Some of them were very politically focused, and then others weren't political at all. I don't think there was really anything unusual, just some were more political than others. ",Strong Republican,,Republican Party,45 to 54 years old,Female,,Washington,Thank you. I enjoyed participating. ,61598,
7/25/2022 16:44,7/25/2022 16:50,IP Address,75.182.175.5,100,325,TRUE,7/25/2022 16:50,R_1QatZ5m8EFgRH64,,,,,36.1219,-79.7777,anonymous,EN,Somewhat political,Extremely political,Not at all political,Slightly Political,Somewhat political,Not at all political,Not at all political,6,Equally by human activity and natural causes,,,Slightly political,Somewhat political,Slightly political,Not at all political,Extremely political,Slightly political,Not at all political,,,,,,Not at all political,Extremely political,,4,0,no,Weak Republican,,,55 to 64 years old,Male,,North Carolina,,48659,
7/25/2022 16:35,7/25/2022 16:58,IP Address,73.126.19.239,100,1351,TRUE,7/25/2022 16:58,R_2QuIjNSc2gXEonM,,,,,42.753,-71.0325,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Slightly political,5,Equally by human activity and natural causes,,Slightly political,,Somewhat political,Slightly political,,,Somewhat political,,Extremely political,Somewhat political,,Not at all political,,Slightly political,,Slightly political,7,3,Not particularly. ,Weak Republican,,,25 to 34 years old,Male,,Massachusetts,"None, thanks.",59942,
7/25/2022 16:55,7/25/2022 16:58,IP Address,98.235.48.27,100,156,TRUE,7/25/2022 16:58,R_qXckzEqsgFmSH17,,,,,40.2744,-76.7062,anonymous,EN,Somewhat political,Extremely political,Slightly political,Slightly Political,Slightly political,Slightly political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,Slightly political,Very political,,,Not at all political,Extremely political,,Not at all political,,,Not at all political,Not at all political,,Not at all political,Extremely political,,0,6,The Trump coloring book was rather odd,Strong Democrat,,,45 to 54 years old,Male,,Pennsylvania,,52892,
