"","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate"
"1",0.2054509,"Democrat","Pro-environment",5054,1,0,0,1,0,1,1,0,"POLADSTRUMP1S4",5
"2",0.71141345,"Democrat","Pro-environment",5057,1,1,0,0,0,0,1,0,"POLADSTRUMP1S4",4
"3",1.04620533,"Democrat","Pro-environment",5059,1,0,0,1,1,0,0,1,"POLADSTRUMP1S4",5
"4",0.52728668,"Democrat","Pro-development",5063,1,1,0,1,1,1,1,1,"POLADSTRUMP1S4",4
"5",0.6781819,NA,"Pro-development",5064,1,1,0,0,1,0,1,1,"POLADSTRUMP1S4",4
"6",0.70259683,"Republican","Pro-development",5067,0,1,0,1,1,0,0,0,"POLADSTRUMP1S4",NA
"7",1.85219344,"Democrat","Pro-environment",5069,1,1,1,0,0,0,1,1,"POLADSTRUMP1S4",5
"8",0.97551342,"Democrat","Pro-environment",5077,0,1,0,1,0,1,1,1,"POLADSTRUMP1S4",NA
"9",0.74204567,"Democrat","Pro-environment",5078,0,1,0,0,1,0,1,0,"POLADSTRUMP1S4",NA
"10",0.3060049,"Democrat","Pro-environment",5084,1,0,1,1,1,1,0,0,"POLADSTRUMP1S4",5
"11",0.55122874,"Republican","Pro-development",5087,0,1,0,0,0,1,0,0,"POLADSTRUMP1S4",NA
"12",0.3216479,"Democrat","Pro-development",5088,0,1,1,1,1,0,0,0,"POLADSTRUMP1S4",NA
"13",1.25735857,NA,"Pro-development",5101,1,0,1,1,0,0,1,1,"POLADSTRUMP1S4",5
"14",0.54460881,NA,"Pro-environment",5104,0,0,1,1,1,0,1,1,"POLADSTRUMP1S4",NA
"15",0.72070859,"Democrat","Pro-environment",5108,0,0,1,1,1,0,1,1,"POLADSTRUMP1S4",NA
"16",1.13119551,"Republican","Pro-environment",5109,1,0,0,0,0,0,1,1,"POLADSTRUMP1S4",5
"17",0.34080347,"Democrat","Pro-environment",5110,0,1,0,0,0,0,0,0,"POLADSTRUMP1S4",NA
"18",2.3849309,"Democrat","Pro-development",5113,1,1,1,1,1,1,0,0,"POLADSTRUMP1S4",5
"19",1.01519779,"Democrat","Pro-environment",5115,0,1,1,0,0,1,1,1,"POLADSTRUMP1S4",NA
"20",0.75823754,"Democrat","Pro-environment",5117,1,1,0,1,0,1,0,0,"POLADSTRUMP1S4",1
