"","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate"
"1",0.80976837,"Republican","Pro-development",55,0,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA
"2",0.55581563,"Republican","Pro-development",61,0,0,1,0,0,0,0,1,"POLADSTRUMP1S4",NA
"3",1.18287395,"Republican","Pro-development",63,1,0,1,0,0,1,0,0,"POLADSTRUMP1S4",5
"4",0.76717037,"Republican","Pro-development",64,1,1,1,1,1,1,1,0,"POLADSTRUMP1S4",5
"5",1.44627053,"Republican","Pro-development",67,1,0,1,1,1,0,0,1,"POLADSTRUMP1S4",5
"6",0.13628642,"Republican","Pro-development",68,0,0,1,1,0,0,0,0,"POLADSTRUMP1S4",NA
"7",1.62477423,"Democrat","Pro-environment",71,1,1,0,1,0,0,1,0,"POLADSTRUMP1S4",5
"8",0.50549537,"Republican","Pro-environment",72,0,0,1,0,0,0,0,0,"POLADSTRUMP1S4",NA
"9",0.6542835,"Republican","Pro-development",74,1,0,1,0,1,0,1,0,"POLADSTRUMP1S4",5
"10",0.53888812,NA,"Pro-environment",77,1,0,1,0,0,0,0,0,"POLADSTRUMP1S4",5
"11",0.75751234,NA,"Pro-environment",79,0,0,1,1,0,0,1,0,"POLADSTRUMP1S4",NA
"12",1.88155013,NA,"Pro-environment",80,0,1,0,1,0,0,1,0,"POLADSTRUMP1S4",NA
"13",2.81245993,"Democrat","Pro-environment",83,0,0,0,0,1,0,1,0,"POLADSTRUMP1S4",NA
"14",3.2481786,"Republican","Pro-development",87,1,0,1,1,0,0,1,0,"POLADSTRUMP1S4",5
"15",1.4871881,NA,"Pro-development",88,1,1,0,0,1,0,1,1,"POLADSTRUMP1S4",5
"16",0.29574494,"Republican","Pro-development",91,1,0,0,1,1,0,1,1,"POLADSTRUMP1S4",5
"17",1.22017265,"Republican","Pro-development",92,0,0,0,1,1,1,1,1,"POLADSTRUMP1S4",NA
"18",1.11200614,NA,"Pro-environment",98,1,1,1,0,0,1,0,1,"POLADSTRUMP1S4",4
"19",2.58096964,"Democrat","Pro-development",100,1,0,1,1,0,1,0,1,"POLADSTRUMP1S4",4
"20",0.6269187,NA,"Pro-environment",112,0,0,1,1,0,0,1,0,"POLADSTRUMP1S4",NA
"21",0.7448435,"Republican","Pro-environment",120,1,1,0,0,0,0,1,0,"POLADSTRUMP1S4",5
"22",0.45073965,NA,"Pro-environment",123,1,0,0,0,1,0,1,0,"POLADSTRUMP1S4",5
"23",1.4947228,NA,"Pro-environment",127,1,1,1,0,0,1,0,0,"POLADSTRUMP1S4",5
"24",0.84530031,"Republican","Pro-development",128,0,0,1,0,0,0,0,1,"POLADSTRUMP1S4",NA
"25",0.41395055,"Democrat","Pro-environment",136,0,1,0,0,0,1,1,1,"POLADSTRUMP1S4",NA
"26",0.25403932,NA,"Pro-environment",140,0,1,0,0,1,1,0,1,"POLADSTRUMP1S4",NA
"27",1.30014405,"Republican","Pro-development",141,0,1,0,0,1,1,0,0,"POLADSTRUMP1S4",NA
"28",0.96630307,"Republican","Pro-environment",147,0,1,0,0,1,0,0,0,"POLADSTRUMP1S4",NA
"29",0.66896257,"Republican",NA,150,1,1,0,0,0,0,1,1,"POLADSTRUMP1S4",5
"30",1.87578972,NA,"Pro-development",151,NA,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA
"31",3.22232245,"Democrat","Pro-development",154,0,0,0,0,0,1,0,1,"POLADSTRUMP1S4",NA
"32",0.58745366,"Republican","Pro-environment",155,1,1,1,0,0,0,1,1,"POLADSTRUMP1S4",5
"33",2.02072817,"Republican","Pro-development",156,1,1,0,1,1,1,1,0,"POLADSTRUMP1S4",4
"34",0.0450209,NA,NA,158,0,0,0,1,1,0,1,1,"POLADSTRUMP1S4",NA
"35",1.62046468,NA,"Pro-environment",159,1,1,0,1,0,1,0,1,"POLADSTRUMP1S4",5
"36",1.73999374,NA,"Pro-environment",160,0,0,0,0,1,0,0,1,"POLADSTRUMP1S4",NA
"37",1.61519407,"Republican","Pro-development",162,1,0,1,0,0,0,1,0,"POLADSTRUMP1S4",4
