"","X","WEIGHT","pid","orientation","CaseId","Trump","Biden","Exxon","Patagonia","Power","Sierra","Colgate","MSC","experiment","estimate","Estimate","political","candidate","organization","company","pol","sourceOrient"
"1",1,0.80976837,"Republican","Pro-development",55,0,0,1,1,1,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,1,NA,NA
"2",2,0.55581563,"Republican","Pro-development",61,0,0,1,0,0,0,0,1,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1.18287395,"Republican","Pro-development",63,1,0,1,0,0,1,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"4",4,0.76717037,"Republican","Pro-development",64,1,1,1,1,1,1,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"5",5,1.44627053,"Republican","Pro-development",67,1,0,1,1,1,0,0,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"6",6,0.13628642,"Republican","Pro-development",68,0,0,1,1,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1.62477423,"Democrat","Pro-environment",71,1,1,0,1,0,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"8",8,0.50549537,"Republican","Pro-environment",72,0,0,1,0,0,0,0,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"9",9,0.6542835,"Republican","Pro-development",74,1,0,1,0,1,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"10",10,0.53888812,NA,"Pro-environment",77,1,0,1,0,0,0,0,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"11",11,0.75751234,NA,"Pro-environment",79,0,0,1,1,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1.88155013,NA,"Pro-environment",80,0,1,0,1,0,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2.81245993,"Democrat","Pro-environment",83,0,0,0,0,1,0,1,0,"POLADSTRUMP1S4",NA,NA,NA,NA,NA,NA,NA,NA
"14",14,3.2481786,"Republican","Pro-development",87,1,0,1,1,0,0,1,0,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"15",15,1.4871881,NA,"Pro-development",88,1,1,0,0,1,0,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
"16",16,0.29574494,"Republican","Pro-development",91,1,0,0,1,1,0,1,1,"POLADSTRUMP1S4",5,1,NA,NA,NA,NA,NA,NA
