CaseId,WEIGHT,P_IMAGE1A,P_IMAGE1B,P_IMAGE2A,P_IMAGE2B,P_IMAGE3A,P_IMAGE3B,P_IMAGE4A,P_IMAGE4B,P_IMAGE5A,P_IMAGE5B,P_IMAGE6A,P_IMAGE6B,P_IMAGE7A,P_IMAGE7B,P_IMAGE8A,P_IMAGE8B,P_RELIG,P_ATTEND,P_ZIPCODE,P_CBSA,RND_00,RND_01,RND_02,RND_03,RND_04,RND_05,RND_06,RND_07,RND_08,POLADSTRUMPTEMPS4,POLAADSBIDENTEMPS4,POLADSREGULATIONS4,POLADSGLOBALWARMINGS4,MONTGOMERY1S4,MONTGOMERY2S4,MONTGOMERY3S4,MONTGOMERY4S4,MONTGOMERY5S4,MONTGOMERY6S4,MONTGOMERY7S4,MONTGOMERY8S4,PolAdsORDER1,PolAdsORDER2,PolAdsORDER3,PolAdsORDER4,PolAdsORDER5,PolAdsORDER6,PolAdsORDER7,PolAdsORDER8,POLADSTRUMP1S4,POLADSTRUMP2S4,POLADSBIDEN1S4,POLADSBIDEN2S4,POLADSEXXON1S4,POLADSEXXON2S4,POLADSPATAGONIA1S4,POLADSPATAGONIA2S4,POLADSPOWER1S4,POLADSPOWER2S4,POLADSSIERRA1S4,POLADSSIERRA2S4,POLADSCOLGATE1S4,POLADSCOLGATE2S4,POLADSMSC1S4,POLADSMSC2S4,PartyID7,IDEO1S4,QCANDI20,QPA015A,BAGAINS4,QPAC2,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,INCOME4,INCOME9,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
54,0.20545090,425,461,113,641,242,243,253,213,614,342,311,325,334,514,565,455,1,8,37777,"Knoxville, TN Metro Area",0,0,1,1,0,1,0,0,1,1,6,1,1,1,1,2,2,1,2,2,1,2,1,8,7,5,3,4,6,1,,,2,,2,2,,,1,1,,4,,,5,3,2,2,1,1,1,3/31/2021 13:20,3/31/2021 13:39,19,2,1,Desktop,1,63,4,5,5,5,1,1,12,3,7,TN,3,6,1,1,1,1,2,2,0,0,0,0,2
57,0.71141345,425,134,124,462,331,335,264,621,162,342,353,212,555,413,614,161,2,6,49660,,1,0,0,1,1,1,1,0,1,7,5,2,2,1,1,2,2,2,2,2,1,4,6,7,5,3,1,8,2,2,,1,,,3,,3,,1,,1,5,,,5,3,6,1,2,2,1,3/31/2021 12:41,3/31/2021 12:49,9,2,1,Desktop,2,66,4,6,1,3,1,5,8,2,4,MI,2,3,0,1,1,1,4,2,0,0,0,0,1
59,1.04620533,332,235,332,453,254,422,241,445,422,545,445,514,641,465,541,342,9,1,94131,"San Francisco-Oakland-Berkeley, CA Metro Area",1,0,1,1,0,0,1,1,0,1,6,1,1,2,1,2,1,1,2,1,1,3,6,2,7,5,8,1,4,1,,,1,,4,2,,1,,,3,,5,1,,1,2,2,1,2,1,4/6/2021 11:20,4/6/2021 11:26,7,2,1,Desktop,2,33,2,2,1,4,1,1,18,4,9,CA,4,9,1,1,1,2,4,4,0,0,0,0,2
63,0.52728668,314,323,451,225,161,332,653,424,133,612,362,215,461,331,264,335,1,3,77355,"Houston-The Woodlands-Sugar Land, TX Metro Are",0,0,0,1,0,0,0,0,0,7,1,6,2,2,2,2,2,2,2,2,2,7,5,2,4,8,6,1,3,2,,1,,,2,1,,2,,1,,4,,2,,3,6,1,2,1,1,3/31/2021 10:44,3/31/2021 10:55,12,2,1,Desktop,1,65,4,6,1,3,1,1,13,3,7,TX,3,7,1,1,1,1,1,4,0,0,0,0,2
64,0.67818190,253,362,232,563,213,554,625,433,332,433,565,231,434,312,515,421,3,3,85705,"Tucson, AZ Metro Area",1,0,0,1,1,0,1,0,0,6,2,5,2,1,1,1,1,1,2,2,2,8,1,3,6,7,5,4,2,2,,2,,,4,,3,3,,,3,3,,3,,4,2,1,2,2,1,3/31/2021 10:56,3/31/2021 11:04,8,2,1,Smartphone,2,67,4,6,1,3,3,5,12,3,7,AZ,4,8,1,1,1,1,2,2,0,0,0,0,2
67,0.70259683,253,454,562,332,342,633,461,533,515,452,123,514,561,125,364,531,1,7,85021,"Phoenix-Mesa-Chandler, AZ Metro Area",1,1,0,1,0,0,1,1,1,4,3,6,2,1,2,1,2,1,1,2,2,7,5,6,4,3,8,2,1,,4,1,,,4,2,,1,,,4,,5,,5,6,6,3,3,2,1,4/5/2021 19:10,4/5/2021 19:24,14,2,1,Smartphone,1,50,3,4,5,5,1,1,18,4,9,AZ,4,8,1,1,1,1,4,6,0,0,3,0,3
69,1.85219344,412,411,541,255,262,631,632,651,565,444,144,645,543,152,151,121,11,1,33765,"Tampa-St. Petersburg-Clearwater, FL Metro Area",0,0,0,0,1,1,1,0,0,1,6,1,1,2,1,2,1,1,1,2,1,7,4,1,6,3,5,2,8,1,,2,,3,,,5,,3,,5,4,,3,,2,4,2,1,2,1,4/2/2021 17:48,4/2/2021 18:01,14,2,1,Desktop,2,61,4,5,1,2,3,1,9,2,5,FL,3,5,1,1,1,1,4,1,0,0,0,0,1
77,0.97551342,133,234,652,463,162,615,425,525,651,254,314,322,645,133,555,444,2,1,13204,"Syracuse, NY Metro Area",0,1,0,1,0,1,0,0,0,5,4,3,1,2,1,2,1,2,2,2,2,6,1,7,3,4,5,2,8,,2,1,,,4,4,,,3,2,,5,,2,,2,4,1,1,2,1,4/1/2021 14:34,4/1/2021 14:37,4,2,1,Smartphone,2,37,2,3,1,3,1,2,10,2,6,NY,1,2,1,1,2,3,4,6,0,0,0,2,3
78,0.74204567,133,563,515,145,331,145,631,652,644,351,535,223,113,443,334,142,1,5,27612,"Raleigh-Cary, NC Metro Area",0,1,0,1,1,0,1,0,1,1,4,3,1,1,2,2,1,2,2,1,2,7,2,5,8,3,1,4,6,,3,1,,,5,,5,1,,,4,5,,,5,3,1,2,4,2,1,3/31/2021 15:52,3/31/2021 15:57,6,2,1,Smartphone,2,26,1,2,1,3,6,1,10,2,6,NC,3,5,1,1,2,3,4,5,0,0,0,0,5
84,0.30600490,243,542,212,323,144,362,652,323,523,333,235,333,143,513,243,465,11,1,49855,"Marquette, MI Micro Area",0,0,1,0,0,0,0,1,1,1,5,1,1,2,2,2,2,2,98,1,1,6,4,8,3,7,2,1,5,1,,,2,3,,2,,1,,98,,,5,,5,2,4,2,1,2,1,3/31/2021 13:45,3/31/2021 13:51,6,2,1,Smartphone,1,48,3,4,1,3,1,1,14,4,8,MI,2,3,0,0,1,1,4,3,0,0,0,0,3
