CaseId,WEIGHT,P_SPLIT,P_IMAGE1A,P_IMAGE1B,P_IMAGE2A,P_IMAGE2B,P_IMAGE3A,P_IMAGE3B,P_IMAGE4A,P_IMAGE4B,P_IMAGE5A,P_IMAGE5B,P_IMAGE6A,P_IMAGE6B,P_PARTYID7,P_IDEO,P_RELIG,P_ATTEND,P_ZIPCODE,P_CBSA,RND_00,RND_01,RND_02,RND_03,RND_04,RND_05,RND_06,RND_07,RND_08,POLMATTERSS4,PA_ORDER1,PA_ORDER2,PA_ORDER3,PA_ORDER4,PA_ORDER5,PA_ORDER6,PA_ORDER7,PA_ORDER8,PA_ORDER1S4,PA_ORDER2S4,PA_RLAW1S4,PA_RLAW2S4,PA_ORDER3S4,PA_RLAW4S4F,PA_RLAW7S4G,PA_RLAW8S4,SCAWARES4,FREES4,MEFREE1S4,MEFREE2S4,SCJOBS4,NOLOOKUPS4,SCELECTS4,SCELECTS4_TOTALTIME,SCLIFES4,SCLIFES4_TOTALTIME,SCJRS4,SCJRS4_TOTALTIME,SCAPPEALS4,SCAPPEALS4_TOTALTIME,SCFINALS4,SCFINALS4_TOTALTIME,SCLIB1S4,SCLIB2S4,SCLIB3S4,CTCHANGES4,ALLOW1S4,ALLOW2S4,ALLOW3S4,SCSUP1_3ORDER1,SCSUP1_3ORDER2,SCSUP1S4,SCSUP2S4,GPBS4_ORDER1,GPBS4_ORDER2,GPBS4_ORDER3,GPBS4_ORDER4,GPBS4_ORDER5,GPBS4_ORDER6,GPBS4_ORDER7,GPBS4_ORDER8,GPBS4_ORDER9,GPBS4_ORDER10,GPBS4_ORDER11,GPBS4_ORDER12,GPBS4_ORDER13,GPBS4_ORDER14,GP1BS4,GP2BS4,GP3BS4,GP4BS4,GP5BS4,GP6BS4,GP7BS4,GP8BS4,GP9BS4,GP10BS4,GP11BS4,GP12BS4,GP13BS4,GP14BS4,AOTHBS4,AOTHERB1S4,AOTHERB2S4,DOV_GPB1_1,DOV_GPB1_2,DOV_GPB1_3,HIGHGP1S4,HIGHGP2S4,HIGHGP3S4,DOV_GPB2_1,DOV_GPB2_2,DOV_GPB2_3,DOV_GPB2_4,DOV_GPB2_5,DOV_GPB2_6,DOV_GPB2_7,DOV_GPB2_8,DOV_GPB2_9,DOV_GPB2_10,DOV_GPB2_11,DOV_GPB2_12,DOV_GPB2_13,DISGROUP1S4,DISGROUP2S4,DISGROUP3S4,DISGROUP4S4,DISGROUP5S4,DISGROUP6S4,DISGROUP7S4,DISGROUP8S4,DISGROUP9S4,DISGROUP10S4,DISGROUP11S4,DISGROUP12S4,DISGROUP13S4,DOV_LLIKE1,DOV_LLIKE3,DOV_LLIKE1_2,DOV_LLIKE3_2,DOV_LLIKE1_3,DOV_LLIKE3_3,DOV_LLIKE1_4,DOV_LLIKE3_4,DOV_LLIKE1_5,DOV_LLIKE3_5,LL1SPCHS4,LL1BANS4,LL1DEMS4,LL3SPCHS4,LL3BANS4,LL3DEMS4,OPIOIDS4,CURB_ORDER1,CURB_ORDER2,CURB_ORDER3,CURB_ORDER4,CURB_ORDER5,CURB1S4,CURB2S4,CURB3S4,CURB4S4,CURB5S4,LL1DANGSS4,LL1VIOLENTS4,LL1PPOWS4,LL1AFFS4,LL1ANGERS4,LL1PROCS4,LL1POWS4,LL1HATES4,LL1FREES4,LL1SECURES4,LL1UNAMS4,LL1AFRAIDS4,LL1IDEOLOGYS4,LL1KNOWS4,CONTACTXS4,LL3DANGSS4,LL3VIOLENTS4,LL3PPOWS4,LL3AFFS4,LL3ANGERS4,LL3PROCS4,LL3POWS4,LL3HATES4,LL3FREES4,LL3SECURES4,LL3UNAMS4,LL3AFRAIDS4,LL3IDEOLOGYS4,LL3KNOWS4,CONTACTYS4,SCSUP1_5ORDER1,SCSUP1_5ORDER2,SCSUP1_5ORDER3,SCSUP1_5ORDER4,SCSUP4S4,SCSUP5S4,SCSUP7S4,SCSUP8S4,DOG3S4,DOG4S4,DOG5S4,DEMMUMS4,DEMATHS4,DEMCOMS4,DEMFUNDS4,DEMWNATIONALS4,IDEO1S4,SCIDEO1S4,BAGAINS4,ISSUES4,GUNSS4,WALLS4,ABORTIONS4,GAYRIGHTSS4,PRIVACYS4,ANOINTEDS4,POLADSTRUMPTEMPS4,POLAADSBIDENTEMPS4,POLADSREGULATIONS4,POLADSGLOBALWARMINGS4,MONTGOMERY1S4,MONTGOMERY2S4,MONTGOMERY3S4,MONTGOMERY4S4,MONTGOMERY5S4,MONTGOMERY6S4,PolAdsORDER1,PolAdsORDER2,PolAdsORDER3,PolAdsORDER4,PolAdsORDER5,PolAdsORDER6,PolAdsORDER7,PolAdsORDER8,POLADSTRUMP1S4,POLADSTRUMP2S4,POLADSBIDEN1S4,POLADSBIDEN2S4,POLADSEXXON1S4,POLADSEXXON2S4,POLADSPATAGONIA1S4,POLADSPATAGONIA2S4,POLADSPOWER1S4,POLADSPOWER2S4,POLADSSIERRA1S4,POLADSSIERRA2S4,POLADSCOLGATE1S4,POLADSCOLGATE2S4,POLADSMSC1S4,POLADSMSC2S4,QPA015A,QPA015,QPAC2,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
55,0.80976837,2,514,345,312,215,425,645,521,634,615,631,521,213,7,7,12,9,82401,,0,1,1,0,0,0,1,1,0,2,8,5,3,4,1,7,6,2,4,3,4,4,4,4,4,4,1,2,2,2,4,1,2,16,2,11,1,11,3,16,1,15,1,2,,1,3,1,1,1,2,3,3,13,2,3,11,7,6,8,1,14,10,5,12,4,9,50,2,50,4,6,100,3,5,3,1,998,3,1,75,2,,,6,,,1,,,10,2,12,7,9,4,,,,,,,,,2,,1,,,,,,,,3,,4,12,4,12,4,12,4,12,4,12,,,,3,3,3,3,5,3,4,1,2,3,3,3,3,3,,,,,,,,,,,,,,,,10,10,10,10,10,0,5,5,5,5,5,5,5,2,,3,4,1,2,3,3,3,3,3,3,3,4,4,1,4,2,7,3,1,1,1,,,,,3,5,5,4,2,1,1,1,1,1,1,3,4,1,5,2,7,8,6,,3,,3,3,,3,,3,,,3,,3,3,,3,3,1,7/1/2020 9:59,7/1/2020 10:23,25,2,1,Smartphone,2,40,2,3,1,12,4,3,5,1,WY,4,8,0,0,2,4,5,4,0,0,0,0,4
61,0.55581563,2,652,243,352,543,231,523,362,615,241,342,361,162,7,6,1,7,80132,"Colorado Springs, CO",1,1,1,0,1,1,1,1,0,2,8,7,3,4,1,2,5,6,5,4,5,5,5,5,5,5,1,2,2,1,2,1,2,11,2,11,1,22,1,25,3,13,3,,,2,2,2,2,1,2,4,2,13,14,2,11,5,10,1,12,7,4,3,6,9,8,96,5,93,25,15,16,7,92,13,13,100,13,8,78,1,Antifa,15,11,1,3,4,2,1,2,7,12,9,10,13,5,,,,,,,,2,,,3,,,,,,,,1,13,5,13,5,13,5,13,5,13,5,,,,2,4,2,2,3,4,1,2,5,2,2,2,2,5,,,,,,,,,,,,,,,,10,9,9,9,8,1,8,8,9,9,1,9,1,2,,3,4,1,2,2,4,4,4,2,2,2,3,3,3,3,3,6,2,1,1,1,,,,,1,6,2,6,2,2,2,2,2,2,1,6,2,3,7,1,4,8,5,,3,,4,2,,,3,,3,,2,,5,3,,2,2,1,7/9/2020 12:48,7/13/2020 15:05,49,2,1,Smartphone,1,56,3,5,1,12,4,5,1,6,CO,4,8,1,1,1,2,4,1,0,0,0,0,1
63,1.18287395,2,432,631,652,624,623,621,361,234,315,263,523,342,6,6,,8,83440,"Rexburg, ID",1,0,1,0,1,1,0,1,1,1,4,8,7,2,6,1,5,3,5,5,5,5,5,5,5,5,1,3,2,1,3,1,2,9,2,4,1,9,1,20,3,22,1,2,,1,2,2,2,2,1,5,4,6,10,1,4,14,11,5,9,12,7,8,2,3,13,99,0,998,0,0,75,0,25,0,0,25,0,0,75,1,I listed several of them in the previous questions.,0,1,,,1,,,4,7,2,10,5,12,9,13,8,11,6,1,,,,,,2,,,,3,1,,,,10,9,10,9,10,9,10,9,10,9,,,,1,5,1,5,4,2,1,5,3,5,2,5,4,5,,,,,,,,,,,,,,,,10,98,7,7,8,8,7,5,8,8,2,0,0,1,2,4,2,1,3,1,4,4,4,4,4,2,3,3,3,3,3,7,1,1,5,,,,,4,3,6,1,3,2,1,2,1,2,2,1,7,1,8,3,2,4,5,6,1,,,1,4,,,4,,3,1,,,5,,5,2,2,1,7/1/2020 9:48,7/1/2020 10:25,37,2,1,Desktop,1,62,4,5,1,9,2,1,5,11,ID,4,8,0,1,1,1,4,2,0,0,0,0,1
64,0.76717037,2,451,214,531,534,135,245,315,124,543,624,412,614,6,6,2,8,14221,"Buffalo-Cheektowaga-Niagara Falls, NY",1,0,0,0,0,0,0,0,1,2,5,1,4,6,3,8,7,2,4,3,4,4,4,2,4,3,1,2,1,,2,1,2,5,2,17,1,33,1,16,3,13,3,,,3,1,1,1,1,2,4,3,1,11,10,7,8,2,14,3,4,5,13,9,6,12,90,0,50,0,0,90,0,10,0,0,50,0,10,60,2,,,6,1,,2,2,,5,4,12,7,2,10,9,8,11,3,1,6,,,3,,,,,,,,2,,1,,12,2,12,2,12,2,12,2,12,2,,,,2,4,2,5,5,1,4,3,2,4,2,3,1,4,,,,,,,,,,,,,,,,9,6,1,1,5,1,1,5,9,5,1,5,1,2,,1,4,3,2,3,3,3,3,3,4,2,1,3,3,3,3,6,2,2,5,,,,,4,5,5,2,6,1,2,2,2,2,2,1,4,2,8,5,3,7,6,1,1,,1,,3,,1,,1,,1,,4,,,4,2,2,1,7/9/2020 13:15,7/9/2020 14:13,58,2,1,Desktop,1,52,3,4,1,12,4,5,1,10,NY,1,2,1,1,1,1,4,1,0,0,0,0,1
67,1.44627053,2,465,513,523,351,512,263,213,534,245,152,413,312,5,6,11,2,46845,"Fort Wayne, IN",1,0,1,0,0,0,1,1,0,1,8,6,5,2,3,1,4,7,4,4,4,5,5,5,5,5,1,1,1,,2,1,2,12,2,8,1,16,1,30,3,13,3,,,4,1,1,1,2,1,4,4,14,9,6,1,12,3,2,11,7,5,8,4,10,13,69,0,79,0,0,7,0,30,4,0,0,0,35,69,1,"BLM,Black Panthers, Nationalists",0,3,,,2,,,5,2,11,13,12,4,7,10,9,6,8,,,,,,,,,,,,1,,2,3,10,13,10,13,10,13,10,13,10,13,,,,2,4,2,2,5,2,3,1,4,5,4,4,4,5,,,,,,,,,,,,,,,,8,8,6,7,8,2,3,3,8,7,2,8,0,1,3,2,3,1,4,2,4,4,4,2,4,4,2,2,2,2,2,5,3,2,2,,1,,,,5,6,1,5,2,1,2,1,2,2,2,3,6,1,8,5,4,7,2,1,,,2,4,,1,,2,,,2,,5,2,,2,1,1,7/7/2020 15:03,7/7/2020 15:25,24,2,1,Desktop,1,59,3,5,1,12,4,1,2,9,IN,2,3,1,1,1,1,2,2,0,0,0,0,1
68,0.13628642,2,325,614,651,523,342,321,632,612,354,231,643,615,5,3,7,3,83201,"Pocatello, ID",0,1,1,0,0,1,1,1,1,2,4,1,3,7,8,2,5,6,5,2,4,2,4,4,4,5,1,3,2,2,2,1,2,20,2,14,1,17,3,20,3,13,3,,,3,1,1,1,1,2,4,4,6,13,4,5,3,9,8,14,1,12,11,2,7,10,53,26,51,998,1,26,47,47,64,2,51,26,24,51,1,US COMMUNIST Party,998,,,,,,,5,10,12,2,6,7,8,,,,,,,,3,,,,,,,,1,,2,,10,2,10,2,10,2,10,2,10,2,,,,2,4,2,3,4,1,3,2,5,4,3,3,3,2,,,,,,,,,,,,,,,,8,2,0,0,4,0,2,4,6,6,0,4,2,2,,4,1,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,4,1,5,,,,,4,5,4,4,5,3,1,2,2,2,2,2,1,5,8,3,2,6,7,4,,3,,4,3,,2,,,3,,3,,4,,4,2,1,1,7/2/2020 15:48,7/3/2020 0:17,53,2,1,Smartphone,1,52,3,4,1,10,3,3,6,4,ID,4,8,1,0,2,1,4,2,0,0,0,0,2
71,1.62477423,2,613,134,521,245,461,561,253,314,532,341,364,135,3,1,1,4,99208,"Spokane-Spokane Valley, WA",0,0,0,1,0,1,1,0,1,3,8,5,3,6,2,4,7,1,4,4,5,4,4,4,5,4,2,3,1,,3,1,2,14,2,11,1,71,1,21,3,50,2,,2,4,2,2,2,2,1,3,2,13,7,9,4,6,1,3,11,12,2,10,8,14,5,34,2,35,0,0,0,0,80,98,0,81,3,85,22,2,,,9,14,11,2,2,2,5,10,6,4,7,2,12,1,,,,,,,,,2,,,1,,,,,3,,7,12,7,12,7,12,7,12,7,12,,,,3,3,3,1,5,3,2,4,1,1,2,1,1,3,,,,,,,,,,,,,,,,8,8,1,1,7,3,2,7,8,9,1,8,9,2,,3,2,4,1,1,3,5,2,2,3,2,3,3,3,3,3,3,3,1,5,,,,,4,5,1,5,2,3,2,2,2,2,1,2,2,3,5,4,1,8,7,6,1,,2,,,2,2,,,2,,2,4,,,5,1,98,1,7/2/2020 22:09,7/2/2020 22:50,41,2,1,Desktop,2,69,4,6,6,10,3,1,5,11,WA,4,9,1,1,1,1,3,2,0,0,0,0,2
72,0.50549537,1,153,145,653,625,643,345,425,423,263,231,123,612,6,5,1,4,29628,"Greenwood, SC",0,1,1,0,1,1,1,1,1,2,3,7,1,6,8,5,4,2,4,1,5,5,5,3,5,5,1,2,2,1,2,1,2,22,2,23,1,28,2,83,2,94,1,1,,2,1,1,1,1,2,3,2,4,5,6,14,11,12,8,10,2,1,9,13,7,3,83,5,32,7,6,4,1,32,5,51,84,1,29,79,1,"Kkk, radical Muslims, allowing all abortions",1,11,1,15,2,2,2,13,7,12,6,9,2,5,,,,,,,,2,,,3,,,,1,,,,,9,5,9,5,9,5,9,5,9,5,2,4,3,,,,5,3,1,5,4,2,3,2,2,2,4,10,8,1,7,10,3,2,7,7,6,3,7,1,1,3,,,,,,,,,,,,,,,,3,1,4,2,2,2,1,2,2,3,2,2,3,3,3,3,5,2,1,5,,,,,4,2,5,2,2,3,2,2,1,2,2,2,1,8,7,2,4,6,5,3,,3,,3,5,,,3,,3,,2,,5,,5,2,4,1,7/1/2020 18:57,7/1/2020 19:40,44,2,1,Smartphone,2,61,4,5,1,10,3,3,6,6,SC,3,5,0,1,1,1,4,4,0,0,0,2,2
74,0.65428350,1,351,621,641,215,614,325,421,465,624,612,425,314,6,6,2,6,1077,"Springfield, MA",0,0,1,0,1,0,1,0,1,1,7,6,4,1,3,2,8,5,4,2,5,4,2,4,5,5,1,1,1,,2,1,2,7,2,6,1,12,1,11,3,12,3,,,4,1,1,1,1,2,5,5,13,5,8,11,2,4,6,7,1,3,14,9,10,12,91,98,79,1,1,57,14,14,30,4,31,998,2,87,1,Socialists,998,2,1,15,4,1,2,4,5,10,7,8,9,,,,,,,,,,,3,2,,,,,1,,,,10,4,10,4,10,4,10,4,10,4,2,2,2,,,,2,4,1,3,2,5,4,3,4,3,5,10,10,0,5,5,5,3,5,10,9,8,9,1,2,,,,,,,,,,,,,,,,,4,1,3,2,4,4,4,2,4,4,4,3,3,3,4,3,6,3,2,5,,,,,4,5,4,2,6,3,2,2,2,1,1,1,2,7,1,8,4,3,6,5,1,,,3,3,,,4,2,,,2,5,,,4,2,2,1,7/4/2020 21:51,7/4/2020 22:08,17,2,1,Smartphone,1,56,3,5,1,12,4,1,1,16,MA,1,1,1,1,1,1,3,2,0,0,0,0,2
77,0.53888812,1,251,624,264,132,264,432,651,412,245,425,532,214,1,1,9,3,61761,"Bloomington, IL",0,0,1,0,1,1,1,1,1,3,8,7,2,3,6,1,5,4,4,3,4,3,5,5,4,3,1,2,1,,3,1,2,7,2,5,1,13,1,16,3,24,2,,2,5,2,2,2,2,1,4,4,8,11,5,12,3,9,13,10,7,6,2,4,1,14,998,50,998,0,75,0,998,100,99,0,100,6,100,0,1,"anti vaxxers
anti mask",0,14,11,8,1,1,1,13,10,6,4,12,2,5,,,,,,,,,,3,,2,,,,1,,,,10,4,10,4,10,4,10,4,10,4,2,4,2,,,,2,2,3,1,5,4,5,4,4,3,1,9,9,1,2,7,0,1,9,10,9,0,3,10,2,,,,,,,,,,,,,,,,,2,3,1,4,3,2,4,4,2,3,2,3,3,3,3,2,1,4,2,1,4,,,,,5,1,7,1,1,2,2,2,2,2,2,5,6,7,3,8,1,4,2,1,,,2,2,,,4,,1,,4,,5,,5,1,1,1,7/1/2020 10:56,7/1/2020 11:22,27,2,1,Desktop,1,53,3,4,1,10,3,1,1,15,IL,2,3,1,1,1,1,4,4,0,0,0,0,2
